id,name,diet,course,state,worth,cook_time,ingredients,region,flavor,year
237,Chingri Bhape,Non-vegetarian,Dessert,Gujarat,2184014,30,"Rose water, pistachio, badam, bengal gram flour, saffron",West,Sweet,2014
238,Kabiraji,Non-vegetarian,Snack,Gujarat,2182512,-1,"Bottle gourd, whole wheat flour, rava, sesame seeds, bengal gram flour",West,Bitter,2014
239,Khorisa,Vegetarian,Snack,Gujarat,2114006,-1,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",West,Spicy,2014
240,Koldil Chicken,Non-vegetarian,Main Course,Maharashtra,2106557,-1,"Pav bhaji masala, gobi, potatoes, green peas, dinner rolls",West,Spicy,2014
241,Konir Dom,Non-vegetarian,Main Course,Maharashtra,2090520,-1,"Aloo, urad dal, mustard, ginger, curry leaves",West,Spicy,2014
242,Koldil Duck,Non-vegetarian,Snack,Maharashtra,2082528,-1,"Raw peanuts, sabudana, lemon, avocado oil, curry leaves, green chili",West,Spicy,2014
243,Masor Koni,Non-vegetarian,Main Course,Gujarat,2075022,-1,"Khaman, pomegranate, sev, powdered sugar, garlic",West,Spicy,2014
244,Mishti Chholar Dal,Vegetarian,Main Course,Gujarat,2052528,30,"Sev, ginger, tomato, sugar",West,Spicy,2014
245,Pakhala,Vegetarian,Snack,Gujarat,2049016,-1,"Wheat flour, baking soda, all purpose flour, black pepper, sunflower oil",West,Spicy,2014
246,Pani Pitha,Vegetarian,Dessert,Maharashtra,1986009,20,"Whole wheat flour, gur, clarified butter",West,Sweet,2014
247,Payokh,Vegetarian,Snack,Maharashtra,1977617,-1,"Rice flakes, yogurt, raw rice, jaggery, grated coconut",West,Spicy,2014
248,Prawn malai curry,Non-vegetarian,Main Course,Maharashtra,1952006,50,"Whole wheat flour, rice flour, pearl millet flour, sorghum flour, sesame seeds",West,Spicy,2014
249,Red Rice,Vegetarian,Main Course,Gujarat,1920021,-1,"Sweet potato, surti papdi, baby potatoes, valor papdi, green peas",West,Spicy,2014
250,Shukto,Vegetarian,Main Course,Maharashtra,1910009,20,"Gobi, potato, beans, khus khus, coconut",West,Spicy,2014
251,Til Pitha,Vegetarian,Main Course,Goa,1860527,30,"Chicken, coconut oil, wine vinegar, ginger, green, cinnamon",West,Spicy,2014
252,Bebinca,Vegetarian,Snack,Gujarat,1854011,60,"Green garlic chutney, fresh green peas, ginger, lemon juice, plain flour",West,Spicy,2014
253,Shufta,Vegetarian,Snack,Gujarat,1825002,-1,"Moong beans, jaggery, red chillies, oil, salt",West,Spicy,2014
254,Mawa Bati,Vegetarian,Snack,Gujarat,1796507,45,"Rice flour, sesame seeds, baking soda, peanut oil",West,Spicy,2014
255,Pinaca,Vegetarian,Snack,Gujarat,1764518,-1,"Chickpea flour, methi leaves, jowar flour, wheat flour",West,Spicy,2014
